Run,Energy_keV,Tilt_deg,Rp_nm,Depth_Error_nm,Lateral_Range_nm,Vacancies_per_Ion
5,100,15,99.3,0.7000000000000028,44.0,826.9
4,100,7,102.1,2.0999999999999943,40.2,828.4
3,100,0,102.8,2.799999999999997,37.0,826.7
2,75,0,76.4,23.599999999999994,29.6,659.4
8,75,7,76.1,23.900000000000006,30.5,659.1
9,75,15,74.5,25.5,33.2,658.0
1,50,0,51.2,48.8,20.6,472.0
6,50,7,50.6,49.4,21.0,471.7
7,50,15,49.7,50.3,22.9,471.1
